scheme,variable,r,p_value,ci_low,ci_high,n
equal,median_income,-0.08454981064881277,0.0021338528219778745,-0.137936470740039,-0.030673269244013323,1317
equal,pct_nonwhite,0.13974620328033194,3.172398291044365e-07,0.08660485980895898,0.19209455116467178,1328
equal,pct_no_vehicle,0.5618943962360126,2.228592779947715e-111,0.5239383902486756,0.5976232311248457,1328
equal,pct_renter,0.5758866795807547,3.6238134040928447e-118,0.5387849520228596,0.6107587793811384,1328
entropy,median_income,-0.08450119579190768,0.002146551590403796,-0.13788843735272532,-0.030624350550879732,1317
entropy,pct_nonwhite,0.1455686057427395,9.920087293651613e-08,0.09250055310416955,0.197812018923384,1328
entropy,pct_no_vehicle,0.5643651356831046,1.4887159746101755e-112,0.5265583014306583,0.5999440845667592,1328
entropy,pct_renter,0.5715674964995592,4.8943004194755447e-116,0.5341996072270626,0.6067061029429772,1328
pca,median_income,-0.14501433819410095,1.25288554288552e-07,-0.19748403820714738,-0.0917161385790442,1317
pca,pct_nonwhite,0.2084878617708948,1.6542459283301576e-14,0.1564500819594676,0.25937137337567234,1328
pca,pct_no_vehicle,0.5969334043688435,5.105602803775604e-129,0.561160141775121,0.6304807499027819,1328
pca,pct_renter,0.5928959643128233,7.111252604152375e-127,0.5568638026383117,0.6267007950301007,1328
ahp,median_income,-0.12593381053077157,4.558982284436457e-06,-0.17873459405324935,-0.07240975013716967,1317
ahp,pct_nonwhite,0.18603844430405353,8.320706083378406e-12,0.13358289193609849,0.237454506677261,1328
ahp,pct_no_vehicle,0.5810856100378808,8.957524607021447e-121,0.5443071740856296,0.6156344982112433,1328
ahp,pct_renter,0.5852285282264709,6.931661364520177e-123,0.5487099997859827,0.6195179629799235,1328
