scheme,variable,r,p_value,ci_low,ci_high,n
equal,median_income,-0.14442237550946235,1.4785055832248057e-06,-0.20175491529761977,-0.0861034901080307,1102
equal,pct_nonwhite,0.09718005756487239,0.0011758743995670389,0.03861365785682313,0.155081087731042,1112
equal,pct_no_vehicle,0.40812115967281476,7.773953502785481e-46,0.35789834167123624,0.45598949411207357,1111
equal,pct_renter,0.5348147972536443,3.286995525092425e-83,0.4914598692770848,0.5755254990581026,1111
entropy,median_income,-0.0854307981966509,0.004540219343358763,-0.14375876859663808,-0.026511318582124088,1102
entropy,pct_nonwhite,0.017398698131331408,0.5621979632123328,-0.04143067446509014,0.07610785030205217,1112
entropy,pct_no_vehicle,0.341500543466277,9.575944082479453e-32,0.28848118045929516,0.3924320707405157,1111
entropy,pct_renter,0.42956444422574075,4.184686364513705e-51,0.38036047829192976,0.47634347927375253,1111
pca,median_income,-0.16733732901383128,2.2951862635027398e-08,-0.22417529968392313,-0.10936482308666803,1102
pca,pct_nonwhite,0.11862286342135311,7.332345331832253e-05,0.060256061383158276,0.17618126316693344,1112
pca,pct_no_vehicle,0.4291351963191402,5.381675342984092e-51,0.3799102650769984,0.4759365279362152,1111
pca,pct_renter,0.5444706095108383,9.292645478201985e-87,0.5017234396126391,0.5845650101324709,1111
ahp,median_income,-0.16271612402216842,5.58214488247985e-08,-0.21965867136140924,-0.10466864761608032,1102
ahp,pct_nonwhite,0.11437837437197254,0.00013216012300832202,0.055967702436592395,0.17200879054443405,1112
ahp,pct_no_vehicle,0.42618912721140567,2.9959096521911186e-50,0.37682093335620653,0.4731429465918701,1111
ahp,pct_renter,0.5433061098744378,2.5249539181925122e-86,0.5004850052417703,0.5834753645507856,1111
