scheme,variable,r,p_value,ci_low,ci_high,n,method
equal,median_income,-0.27165481954774606,8.338849993472254e-10,-0.35145388258309024,-0.18793692106439355,494,pearson
equal,pct_nonwhite,0.10228106358712462,0.02299507037224177,0.014187099114903835,0.18879942456030166,494,pearson
equal,pct_no_vehicle,0.6909082976686323,2.4795904624886474e-71,0.6418065426417683,0.734368119273567,494,pearson
equal,pct_renter,0.6859304061920333,6.157364252981675e-70,0.6362080050776592,0.7299783741417655,494,pearson
entropy,median_income,-0.24541969970131822,3.282952979952554e-08,-0.3265709582020516,-0.16067659396281975,494,pearson
entropy,pct_nonwhite,0.04738930700228424,0.2931656564760539,-0.041004102953245664,0.13504668759139474,494,pearson
entropy,pct_no_vehicle,0.755975786788177,1.3697066064129542e-92,0.7154712151895396,0.79141536355109,494,pearson
entropy,pct_renter,0.595484780874599,9.927805758909503e-49,0.5353894001924162,0.6495811171813707,494,pearson
pca,median_income,-0.3101695857287563,1.7759091162462458e-12,-0.3877804300711556,-0.22819179380926322,494,pearson
pca,pct_nonwhite,0.1290579732802716,0.004063177235179424,0.04130629555501026,0.2148339089721491,494,pearson
pca,pct_no_vehicle,0.6679846223895007,3.926859456853632e-65,0.6160681058237233,0.7141226913728691,494,pearson
pca,pct_renter,0.6969113735686955,4.71973974462219e-73,0.6485650542787459,0.7396570901552192,494,pearson
ahp,median_income,-0.31497800286838057,7.710271649283669e-13,-0.39229879146595675,-0.23323721379941034,494,pearson
ahp,pct_nonwhite,0.1336689295130019,0.0029128994835716524,0.045989278938706545,0.21930475084324152,494,pearson
ahp,pct_no_vehicle,0.6647255172902216,2.6965149487433738e-64,0.6124177995442295,0.7112380777478099,494,pearson
ahp,pct_renter,0.6955703208423729,1.1533222308281717e-72,0.6470545799690772,0.7384760222513395,494,pearson
